"","gene_short_name","ES_0","ES_2","ES_1","DefEnd_2","DefEnd_0","DefEnd_1","Lung_A_0","Lung_A_4","Lung_A_3","Lung_A_1","Lung_A_2","HLO_2","HLO_3","HLO_4","HLO_0","HLO_5","HLO_1","Lung_F_5","Lung_F_2","Lung_F_4","Lung_F_1","Lung_F_0","Lung_F_3","anova.p","anova.p.adj","Mean.DefEnd","Mean.ES","log2.DefEnd.ovr.ES","ttest.DefEnd.v.ES.p","ttest.DefEnd.v.ES.p.adj","Mean.Lung_A","Mean.Lung_F","log2.Lung_A.ovr.Lung_F","ttest.Lung_A.v.Lung_F.p","ttest.Lung_A.v.Lung_F.p.adj"
"PINK1","PINK1",279.412,269.557,254.463,1007.25,593.582,598.028,1637.92,2184.65,1560.65,1573.07,1678.43,1441.93,1225.36,1919.05,2055.28,1988.3,1279.78,697.297,719.619,807.706,732.317,633.46,677.692,1,1,732.953333333333,267.810666666667,1.45250792271982,0.0276153484716725,0.0859144174674255,1726.944,711.3485,1.2795928655492,6.12789362325663e-06,0.000100047726342876
"PITHD1","PITHD1",1652.83,1671.44,1532.69,991.435,1213.64,1254.47,894.503,930.785,1104.1,930.687,1063.39,1054.56,930.073,1011.92,958.635,864.696,1122.53,725.718,617.284,621.789,524.099,577.434,589.403,1,1,1153.18166666667,1618.98666666667,-0.489471298126154,0.00732486863112622,0.0350164451634326,984.693,609.287833333333,0.692550070377733,2.70716597517003e-05,0.000182967079701147
"PLA2G2F","PLA2G2F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326951,0,0,0,0,0.624289615847645,1,0,0,NA,NA,NA,0,0.0544918333333333,-Inf,0.389283142476211,0.498689515851879
"PLA2G5","PLA2G5",0,0,0,0,0,0,77.9393,107.694,65.2214,106.364,89.0947,0,0.834147,0,0.932524,0.999648,0.55764,6.37025,8.17378,3.30519,4.9745,6.95211,6.04723,2.92037449300255e-05,0.005723934006285,0,0,NA,NA,NA,89.26268,5.97051,3.9021310457052,1.36121236615305e-06,4.44662706276664e-05
"PLCH2","PLCH2",4.29865,0.949144,2.36709,0,0,1.53735,91.129,46.1546,177.029,197.334,40.2363,341.949,181.844,134.723,154.799,191.932,274.916,96.5338,71.6023,56.6014,159.539,111.643,110.866,1,1,0.51245,2.53829466666667,-2.30837640698821,0.138695423026043,0.294167144111069,110.37658,101.130916666667,0.126209979636704,0.790137064718528,0.910981556969597
"PLEKHM2","PLEKHM2",471.777,441.352,447.381,714.076,346.44,325.917,1743.44,2361.58,2552.95,2041.91,2003.19,1508.05,1237.87,1816.26,1888.36,1696.4,1388.52,1355.88,1378.1,1458.42,1598.24,1587.13,1385.62,1,1,462.144333333333,453.503333333333,0.02723033847163,0.948797355993157,1,2140.614,1460.565,0.551498105061296,0.000793033801044497,0.00276066454291927
"PLEKHN1","PLEKHN1",4.29865,1.89829,5.91774,18.2473,2.20662,3.07469,8.39346,0,51.2454,11.1962,0,6.67869,10.8439,4.98973,0.932524,8.99684,7.24932,5.39021,6.86597,2.47889,8.88303,15.54,8.86926,0.0501272521247028,1,7.84287,4.03822666666667,0.957659795358693,0.515338692069945,0.779893989294641,14.167012,8.00456,0.823641500904633,0.503040062551553,0.614144660134218
"PLOD1","PLOD1",706.053,757.417,601.242,1956.11,942.228,1016.19,1628.33,2938.51,1975.28,1503.09,2621.11,8754.43,13525.7,12942.4,15602.1,13540.2,9264.63,2227.63,2699.96,2183.08,2605.57,2229.58,2369.71,5.3776459600393e-10,1.0540186081677e-07,1304.84266666667,688.237333333333,0.922897804103293,0.134669561429579,0.294167144111069,2133.264,2385.92166666667,-0.161484161960292,0.375327215366719,0.498689515851879
"PNRC2","PNRC2",5776.31,6037.5,5620.66,3286.94,5150.26,4668.92,4492.9,3123.13,3326.29,3910.28,3664.38,2169.24,2293.07,1740.42,1910.74,1980.3,2209.37,3489.92,3825.65,3738.59,2985.76,3335.78,3423.54,1,1,4368.70666666667,5811.49,-0.411701861247542,0.0650508667059548,0.175122947623988,3703.396,3466.54,0.0953524158157909,0.377793152889547,0.498689515851879
"PQLC2","PQLC2",88.1223,110.101,102.969,156.927,88.2649,99.9275,133.096,200.003,316.79,183.338,152.323,291.191,277.771,373.232,349.697,341.88,273.801,124.955,119.01,146.255,138.22,148.857,134.248,1,1,115.0398,100.397433333333,0.196410685554102,0.545199292002629,0.812854178464286,197.11,135.2575,0.543292377212617,0.0652085368790281,0.113260052385894
"PRAMEF1","PRAMEF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408947,0,0.495145114789045,1,0,0,NA,NA,NA,0,0.0681578333333333,-Inf,0.389283142476211,0.498689515851879
"PRAMEF12","PRAMEF12",0,0,0,0,0,0,0,0,0,0,0,0,0,0.997947,0,1.9993,0.55764,0,0,0,0,0,0,0.037476785226727,1,0,0,NA,NA,NA,0,0,NA,NA,NA
"PRAMEF16","PRAMEF16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490019,0.653902,0.413149,0.355321,1.22684,0,0.00187425430848649,0.367353844463353,0,0,NA,NA,NA,0,0.523205166666667,-Inf,0.0190944277449562,0.0385825550310456
"PRAMEF17","PRAMEF17",0,0,0,0,0,0,0,0,0,0,0,0.667869,0,0,0,0,0,0,0,0,0,0,0,0.624289615847645,1,0,0,NA,NA,NA,0,0,NA,NA,NA
"PRAMEF2","PRAMEF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"PRAMEF20,PRAMEF21","PRAMEF20,PRAMEF21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"PRAMEF22","PRAMEF22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"PRAMEF5","PRAMEF5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"PRAMEF7,PRAMEF8","PRAMEF7,PRAMEF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"PRAMEF9","PRAMEF9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"PRDM16","PRDM16",12.8959,10.4406,11.8355,17.0308,2.20662,10.7614,570.755,361.545,582.334,509.429,402.363,407.4,583.068,270.444,204.223,298.895,721.586,572.832,572.818,665.996,766.783,898.049,897.005,1,1,9.99960666666667,11.724,-0.229521620261068,0.712331567478059,0.987205737286537,485.2852,728.913833333333,-0.586915418025034,0.0124870483361566,0.0271940163765187
"PRDM2","PRDM2",1046.72,989.957,1084.13,1347.86,1407.83,1486.61,2342.97,1938.49,1802.91,2165.07,1408.27,1764.51,1548.18,1213.5,1393.19,1334.53,1672.92,1626.37,1893.7,1951.72,1842.34,1986.67,1984.3,1,1,1414.1,1040.269,0.442927507155526,0.00153865533309014,0.0127814542183307,1931.542,1880.85,0.038368251461027,0.754654313062954,0.875220386747568
"PRKCZ","PRKCZ",421.268,422.369,392.938,451.316,275.828,318.231,1516.82,1623.1,1355.67,1476.5,1572.09,396.714,295.288,273.437,294.678,318.888,413.769,533.141,461.328,518.502,424.254,465.791,576.099,2.44967271268157e-15,4.80135851685588e-13,348.458333333333,412.191666666667,-0.242329180881113,0.30123944281981,0.527169024934667,1508.836,496.519166666667,1.60351468849589,5.97115968648596e-09,3.90115766183749e-07
"PTCHD2","PTCHD2",41.9118,53.1521,31.9558,7.29891,2.20662,4.61204,0,0,9.31734,9.7967,0,492.887,408.732,86.8214,109.105,212.925,855.977,17.6407,18.9632,23.1363,31.2683,24.1279,16.1259,0.00398330123055894,0.780727041189553,4.70585666666667,42.3399,-3.1694885779193,0.00393821617383222,0.0227026579432681,3.822808,21.87705,-2.51671356379845,0.000378105111947471,0.00154392920711884
"PUSL1","PUSL1",52.6585,64.5418,37.8735,47.4429,2.20662,15.3735,88.7309,69.2319,172.371,86.7708,77.5986,136.913,107.605,131.729,164.124,144.949,155.582,56.8422,41.8497,62.3855,81.3686,95.2848,83.0486,1,1,21.67434,51.6912666666667,-1.25393249221874,0.124695506045016,0.287533166880273,98.94064,70.1299,0.49653356079859,0.165517098539673,0.243919934690044
"RBP7","RBP7",60.1811,48.4063,36.69,8.51539,4.41325,7.68673,97.1243,53.8471,65.2214,124.558,91.9688,4.67508,5.00488,4.98973,0.932524,1.9993,4.46112,3.92015,4.90427,5.78409,3.19789,5.72526,5.64408,1,1,6.87179,48.4258,-2.81701802861818,0.00382184243189454,0.022699427777313,86.54392,4.86262333333333,4.15362572147086,4.81899559986253e-05,0.00029516348049158
"RCAN3","RCAN3",421.268,408.132,428.444,1225,1180.54,1236.03,434.062,238.466,433.256,663.377,284.528,167.635,159.322,123.745,105.375,103.963,149.448,172.487,200.748,205.335,174.463,201.202,219.716,1,1,1213.85666666667,419.281333333333,1.53360756982455,1.56514291746268e-06,0.000282514042767675,410.7378,195.6585,1.0698799372916,0.0111634970602669,0.0245847800428351
"RER1","RER1",1247.68,1212.06,1162.24,1199.45,1372.52,1580.39,1823.78,2138.5,2222.19,1624.85,2006.07,1564.15,1546.51,1648.61,1614.2,1632.43,1492.24,1060.4,1053.44,1020.07,1077.33,1254.24,1103.01,1.12433198415273e-07,2.20369068893936e-05,1384.12,1207.32666666667,0.197152947462044,0.192341919064174,0.384340136285351,1963.078,1094.74833333333,0.842518243891387,1.62750507837834e-05,0.000135904271977136
"RHD","RHD",32.2399,35.1183,28.4051,43.7934,24.2729,23.0602,20.3841,0,0,13.9953,0,31.3898,35.8683,19.9589,13.9879,14.9947,37.9195,96.5338,113.452,63.625,56.8514,66.2495,67.7289,1,1,30.3755,31.9211,-0.0716022110485135,0.835918825592785,1,6.87588,77.4067666666667,-3.49284341615755,0.000108657223601469,0.000608480452168226
"RNF207","RNF207",67.7037,74.9824,66.2786,70.5561,50.7523,63.0312,189.452,230.773,218.957,302.298,68.9766,440.793,526.347,401.175,348.764,460.838,503.549,265.1,192.901,169.391,180.503,196.295,223.747,1,1,61.4465333333333,69.6549,-0.180893225904972,0.26700940455195,0.493715502756437,202.09132,204.656166666667,-0.0181947804636532,0.947393040723123,1
"RPL11","RPL11",24974.1,27343.9,23428.3,16726.7,17869.2,18435.9,14391.2,7238.58,10197.8,9396.44,12105.4,12352.2,12010,16119.8,17111.8,13772.2,9315.93,14620.7,13428.9,12965.9,13528.1,11659.5,12972.1,1,1,17677.2666666667,25248.7666666667,-0.514317701472811,0.0036912429480809,0.0226088630569955,10665.884,13195.8666666667,-0.307082563088345,0.0606460105989492,0.108060164339946
"SAMD11","SAMD11",0,0,0,142.329,30.8927,43.0457,40.7682,69.2319,83.8561,34.9882,97.7168,274.494,401.225,632.698,478.385,602.788,632.364,295.482,273.004,349.524,625.01,512.82,300.346,1,1,72.0891333333333,0,Inf,0.110630044277462,0.261246851546778,65.31224,392.697666666667,-2.58799373180248,0.000745393684243001,0.00265631203839324
"SCNN1D","SCNN1D",7.52264,6.64401,23.6709,20.6802,2.20662,4.61204,68.3468,115.387,97.8321,144.152,34.4883,259.801,220.215,262.46,150.136,223.921,357.447,209.238,107.24,133.86,197.203,171.758,151.584,1.38431866662246e-06,0.000271326458658002,9.16628666666667,12.6125166666667,-0.460446865356505,0.689413442194396,0.972122551583465,92.04124,161.813833333333,-0.81398262275554,0.0188522467256048,0.0384900037314432
"SEPN1","SEPN1",2201.98,2129.88,2165.89,2610.58,1279.84,1420.51,4211.12,5630.87,3712.96,3967.67,3911.55,3305.28,3421.67,4231.29,4000.53,4862.29,3875.04,2693.15,3049.8,3225.45,3119.72,3345.6,3263.08,1,1,1770.31,2165.91666666667,-0.290975722942546,0.402212433055832,0.640923877064578,4286.834,3116.13333333333,0.460155587586797,0.0061150948954188,0.0146847792839398
"SKI","SKI",1767.82,1855.58,1815.56,1645.9,1741.03,1890.94,2919.73,3192.36,3685.01,3112.55,2842.41,2461.1,2638.41,2787.26,3150.07,3032.93,2735.78,2432.46,2415.51,2995.74,3209.26,3382.4,3042.56,1,1,1759.29,1812.98666666667,-0.0433749998961273,0.517276625552568,0.779893989294641,3150.412,2912.98833333333,0.113040588202233,0.31967432027403,0.441240611082464
"SLC25A33","SLC25A33",853.282,903.585,815.464,468.347,666.4,710.254,98.3234,238.466,158.395,278.506,172.441,274.494,271.932,297.388,260.174,304.893,253.169,105.354,92.2002,101.222,101.622,107.553,101.19,0.194132837956843,1,615.000333333333,857.443666666667,-0.47945469813852,0.0368636870516256,0.10947397972907,189.22628,101.523533333333,0.898298280597346,0.0133496870389322,0.028753172083854
"SLC25A34","SLC25A34",52.6585,34.1692,37.8735,69.3396,44.1325,72.2553,68.3468,69.2319,93.1734,113.362,34.4883,122.888,113.444,94.8049,73.6694,95.9662,125.469,189.637,161.514,143.363,178.727,187.707,164.485,1,1,61.9091333333333,41.5670666666667,0.574711320658993,0.126467235972064,0.288227654075866,75.72048,170.9055,-1.17444336431367,9.89148674304827e-05,0.000570215118128665
"SLC45A1","SLC45A1",10.7466,11.3897,16.5697,3.64945,0,0,10.7916,23.0773,18.6347,40.5863,45.9844,90.8302,75.9073,94.8049,108.173,104.963,112.643,10.7804,9.15463,8.67613,11.015,13.0863,15.7228,4.32210709979302e-11,8.47132991559433e-09,1.21648333333333,12.902,-3.40680626236084,0.00612331353948579,0.030773575736903,27.81486,11.4058766666667,1.28607850627845,0.0254538165867845,0.0493955252575224
"SNORA59A","SNORA59A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"SPEN","SPEN",2659.79,2127.03,2690.2,4513.16,4245.54,4661.24,3293.83,2876.97,2310.7,3039.78,2198.63,3573.1,2972.06,2102.67,2527.14,2498.12,3911.29,3888.3,3627.52,3765.85,3841.38,3823.25,3753.31,1,1,4473.31333333333,2492.34,0.843842924151169,0.000836811301082217,0.0102509384382572,2743.982,3783.26833333333,-0.463362087342195,0.000476287120994037,0.00183043677872218
"SPSB1","SPSB1",65.5544,52.2029,50.8925,234.782,191.976,178.332,257.799,261.543,382.011,884.503,413.859,175.65,241.903,377.224,397.255,384.865,235.882,153.376,141.57,159.476,147.458,184.435,143.118,1,1,201.696666666667,56.2166,1.84311913473648,0.00117861776813124,0.0112725388884477,439.943,154.9055,1.50592824838694,0.0232949499928626,0.0456581019860107
"SRRM1","SRRM1",6157.81,6150.45,6658.64,5704.1,5739.43,5682.03,3402.95,2653.89,2417.85,3623.38,2365.32,2475.12,2729.33,1960.97,1818.42,2129.25,2656.04,3291.46,2857.88,2968.06,3125.05,3138.67,3034.09,0.0191673897530118,1,5708.52,6322.3,-0.147332735663955,0.0221290424994204,0.0735134293201084,2892.678,3069.20166666667,-0.0854577056047832,0.488787441807553,0.606343915153673
"TARDBP","TARDBP",10124.4,10508.9,10281.5,6913.28,8793.39,9430.08,4538.46,3576.98,3750.23,3953.67,3365.48,4035.26,3842.08,3302.21,3130.48,3164.89,3836.01,4426.83,4016.27,3701.82,3430.98,3529.63,3697.68,1.59432568178792e-12,3.12487833630433e-10,8378.91666666667,10304.9333333333,-0.298499540487029,0.0652243631456691,0.175122947623988,3836.964,3800.535,0.0137627085015809,0.885032533610278,1
"TAS1R1","TAS1R1",1.07466,0,2.36709,0,0,0,8.39346,23.0773,9.31734,5.59812,5.74805,6.01082,3.33659,7.98357,13.9879,2.99895,2.7882,2.94011,2.61561,2.47889,4.61918,1.22684,1.61259,0.0386221894892886,1,0,1.14725,-Inf,0.168933082010436,0.348535621832057,10.426854,2.58220333333333,2.0136294182506,0.0271689031362711,0.0517000486864965
"TAS1R3","TAS1R3",0,0,0,0,0,0,3.5972,7.69244,51.2454,19.5934,0,36.0649,28.361,30.9363,23.3131,28.9898,37.9195,4.90019,2.94256,3.71834,9.949,14.3132,10.0787,1,1,0,0,NA,NA,NA,16.425688,7.65033166666667,1.10235960019994,0.336506159365876,0.46031567464002
"TCEB3","TCEB3",1838.75,1953.34,1843.97,1669.02,1899.9,1992.4,2356.16,2230.81,2115.04,1539.48,2020.44,1369.13,1193.66,1283.36,1344.7,1279.55,1210.08,1325.5,1359.14,1505.93,1289.46,1491.43,1422.71,1,1,1853.77333333333,1878.68666666667,-0.019259617647121,0.821041506994806,1,2052.386,1399.02833333333,0.552876909101482,0.000816931344333253,0.00276066454291927
"THAP3","THAP3",62.3304,64.5418,54.4432,66.9066,35.306,27.6722,207.438,130.771,288.838,158.147,175.315,292.527,261.088,320.341,305.868,272.904,282.723,152.886,117.048,149.973,152.433,137.815,129.411,1,1,43.2949333333333,60.4384666666667,-0.48126885869447,0.23881312663671,0.445784503055192,192.1018,139.927666666667,0.457189795058989,0.0702741852237616,0.120822283367169
"TMEM201","TMEM201",183.767,173.693,168.064,139.896,114.744,83.0167,232.619,223.081,270.203,264.511,290.276,437.454,397.888,497.975,555.784,504.822,477.897,425.827,348.857,469.337,521.612,534.903,441.447,2.05299175014565e-09,4.02386383028548e-07,112.552233333333,175.174666666667,-0.638199467030635,0.0214796286075338,0.0725863311564935,256.138,456.997166666667,-0.835263917275975,0.000173587214118927,0.000835667111816005
"TMEM50A","TMEM50A",2542.65,2722.14,2589.6,2375.79,3429.09,3150.02,2654.73,3015.44,3363.56,2407.19,3078.08,1564.82,1603.23,1825.24,1863.18,1972.31,1552.47,1128.51,1275.76,1161.78,1053.17,1048.95,1080.84,0.391554114985622,1,2984.96666666667,2618.13,0.189178086607002,0.315047590913909,0.546454228487842,2903.8,1124.835,1.36822870009831,1.20861254379097e-06,4.44662706276664e-05
"TMEM51","TMEM51",102.093,95.8635,120.722,60.8242,55.1656,53.8071,299.766,323.082,368.035,386.27,373.623,246.444,331.156,421.133,429.894,386.864,239.785,174.937,162.168,250.781,216.746,247.822,226.166,1,1,56.5989666666667,106.226166666667,-0.908291569675793,0.003084992858933,0.020850296563823,350.1552,213.103333333333,0.716441352726175,0.000174807916247226,0.000835667111816005
"TMEM57","TMEM57",679.187,717.553,660.419,1144.71,1699.1,1646.5,956.855,1100.02,1024.91,883.103,974.294,1252.25,1026.83,992.957,1163.79,968.659,1210.64,695.827,684.963,761.021,688.257,656.361,686.562,1,1,1496.77,685.719666666667,1.1261617429338,0.010262622780739,0.0439390318342446,987.8364,695.4985,0.506224727148768,2.04662332372347e-05,0.000154283912096077
"TMEM82","TMEM82",2.14932,2.84743,2.36709,1.21648,0,0,0,0,0,0,0,0,0,0,0,0,1.67292,0,0.653902,0,1.06596,1.22684,0.806297,0.319518684656098,1,0.405493333333333,2.45461333333333,-2.59774567915013,0.0107866283465464,0.0445074823939755,0,0.625499833333333,-Inf,0.0266483266163158,0.0512065883999795
"TMEM88B","TMEM88B",0,0,0,0,0,0,0,0,0,0,0,2.00361,0.834147,0,0.932524,0,2.23056,2.4501,1.3078,4.13149,2.13193,0.408947,4.03148,0.00187794165977388,0.368076565315681,0,0,NA,NA,NA,0,2.41029116666667,-Inf,0.00558491952118694,0.0138562560272486
"TNFRSF14","TNFRSF14",0,0,1.18355,0,0,0,1275.81,1823.11,1751.66,1386.93,1209.96,32.7256,46.7122,58.8789,37.301,49.9824,33.4584,238.149,221.673,228.885,287.1,327.567,266.078,8.78603851300802e-06,0.00172206354854957,0,0.394516666666667,-Inf,0.373900966300059,0.600693355695177,1489.494,261.575333333333,2.50952390651661,2.01434144851093e-06,4.93513654885177e-05
"TNFRSF8","TNFRSF8",139.706,117.694,124.272,14.5978,11.0331,6.14939,19.1851,38.4622,83.8561,27.9906,68.9766,3.33934,1.66829,3.99179,4.66262,1.9993,1.11528,2.94011,6.53902,2.06575,4.26386,3.27158,3.62834,0.0331808167770044,1,10.59343,127.224,-3.58612915760655,7.46544399023208e-05,0.00243871170347581,47.69412,3.78477666666667,3.65553133679898,0.00343971257402786,0.00987408449521483
"TP73","TP73",64.4797,74.0332,79.2976,18.2473,30.8927,24.5975,101.921,23.0773,65.2214,314.894,43.1104,43.4115,56.722,48.8994,57.8165,86.9694,73.6085,74.9729,74.5449,80.1509,71.7749,94.8758,83.8549,1,1,24.5791666666667,72.6035,-1.56260309462566,0.00106399151242607,0.0110826197152406,109.64482,80.02905,0.454241967069129,0.552135977050544,0.655870615163071
"TPRG1L","TPRG1L",430.94,503.046,411.874,1267.58,1151.86,1137.64,1519.22,2584.66,1532.7,1580.07,1612.33,651.172,556.376,776.402,838.339,670.764,551.506,580.183,527.372,600.306,580.24,631.006,633.346,1,1,1185.69333333333,448.62,1.40216507678139,0.000119780925439671,0.00308225519498563,1765.796,592.0755,1.5764656184332,0.000140682115049679,0.000745234987830734
"TTLL10","TTLL10",4.29865,2.84743,3.55064,2.43297,0,0,88.7309,15.3849,79.1974,289.703,34.4883,4.67508,5.00488,2.99384,1.86505,3.99859,24.5362,24.501,15.6937,7.84983,13.1469,42.9395,40.718,0.0439377496514894,1,0.81099,3.56557333333333,-2.13637804593358,0.0392549435832864,0.114835357348121,101.5009,24.1414883333333,2.07190599299481,0.117662492958093,0.184494788958289
"UBE4B","UBE4B",4317.99,4191.42,4390.96,2633.69,2740.63,2930.18,1694.28,1330.79,1444.19,1403.73,1244.45,1688.37,1684.98,1857.18,2135.48,1665.41,1546.34,1686.16,1880.62,1758.78,1674.98,1594.08,1652.51,1,1,2768.16666666667,4300.12333333333,-0.635447231011041,0.000125806334489209,0.00308225519498563,1423.488,1707.855,-0.262755161505136,0.00704316995288259,0.0164362095082102
"UBIAD1","UBIAD1",531.958,617.893,518.394,279.791,271.415,295.171,347.729,523.086,456.55,502.431,454.096,399.386,364.522,342.296,414.041,379.866,415.999,410.146,399.534,447.027,401.868,453.932,454.751,1,1,282.125666666667,556.081666666667,-0.978958851504787,0.00101241666745858,0.0110826197152406,456.7784,427.876333333333,0.0943005476650961,0.358965821378383,0.485222765449401
"UBXN10","UBXN10",35.4639,32.2709,29.5887,60.8242,57.3722,47.6577,510.802,153.849,354.059,1598.26,215.552,68.7905,87.5854,151.688,98.8476,180.936,139.41,140.635,142.551,67.7564,52.5876,123.911,187.867,2.43816222719987e-08,4.77879796531174e-06,55.2847,32.4411666666667,0.769054567445726,0.00599505846657778,0.030773575736903,566.5044,119.218,2.24848508541414,0.0957728694996324,0.153864610015803
"VAMP3","VAMP3",1249.83,1267.11,1258.11,1490.19,1897.7,1887.86,3667.94,4646.23,3731.59,3150.34,4443.24,1158.08,1378.84,1673.56,1716.78,1844.35,1134.8,1655.77,1742.32,1761.67,1738.23,1763.79,1643.64,1,1,1758.58333333333,1258.35,0.482880448901938,0.0203995711537526,0.0706652342048325,3927.868,1717.57,1.19337754958969,9.17432312483101e-06,0.000110788180782229
"VPS13D","VPS13D",1959.11,1674.29,2120.92,1908.66,1846.94,1843.28,3028.84,2938.51,2077.77,2479.97,2192.88,2041.68,2080.36,2319.23,2924.4,2623.08,2156.95,1986.54,1962.03,2048.81,1956.75,1999.34,1966.96,0.00773434118132018,1,1866.29333333333,1918.10666666667,-0.0395071928427893,0.715220483136165,0.987205737286537,2543.594,1986.73833333333,0.356466538265753,0.0107598929266285,0.0239652160638543
"VWA1","VWA1",56.9571,68.3384,48.5254,57.1748,19.8596,12.2988,713.444,638.472,1574.63,734.753,1281.81,617.779,664.815,974.994,1097.58,938.67,685.897,863.414,841.572,780.852,1016.57,1419.46,1156.23,1,1,29.7777333333333,57.9403,-0.960333213681923,0.133903487855499,0.294167144111069,988.6218,1013.01633333333,-0.0351668109049896,0.905682712274245,1
"VWA5B1","VWA5B1",13.9706,6.64401,5.91774,0,0,0,2.39813,7.69244,18.6347,6.99765,5.74805,30.0541,82.5805,92.809,40.0985,78.9722,151.678,24.991,16.3476,12.3945,28.0704,17.9937,13.707,1,1,0,8.84411666666667,-Inf,0.0263207104136626,0.0840419993708469,8.294194,18.9173666666667,-1.18953757958682,0.0200089798900662,0.0400179597801323
"ZBTB40","ZBTB40",1156.34,1180.74,1151.59,2531.5,2261.79,2742.63,1846.56,1446.18,1518.73,1903.36,1118,1020.5,1099.41,893.162,797.308,766.73,1062.3,1119.2,1360.77,1508.82,1483.82,1684.05,1621.87,1,1,2511.97333333333,1162.89,1.11110651294575,0.000638641484054331,0.00901666793299114,1566.566,1463.08833333333,0.0985886780575513,0.529670111052837,0.640835443002197
"ZBTB48","ZBTB48",104.242,110.101,121.905,186.122,66.1987,84.5541,386.099,469.239,372.694,446.45,307.521,257.13,267.761,253.478,234.064,256.91,317.855,334.193,313.219,302.425,379.483,363.963,351.142,1,1,112.2916,112.082666666667,0.00268682479035599,0.995838399184883,1,396.4006,340.7375,0.218298413674635,0.0881251993317258,0.145045387943275
"ZNF593","ZNF593",41.9118,50.3046,37.8735,64.4737,22.0662,26.1349,67.1477,30.7698,163.053,53.1821,135.079,114.206,60.8927,152.686,155.732,128.955,97.587,67.1326,49.0427,59.4935,92.7389,92.8311,77.0013,0.0188317249373669,1,37.5582666666667,43.3633,-0.2073440683117,0.69959890049371,0.979438460691195,89.84632,73.0400166666667,0.298772319322632,0.504475970824536,0.614144660134218
